"Inn","Score","Out","RoB","Pit.cnt.","R.O","X.Bat","Batter","Pitcher","wWPA","wWE","Play.Description","Date","Result","value"
"b2","7-3","0","-2-","3,(2-0) BBX","RR","SFG","Barry Bonds","Edgar Gonzalez","5%","95%","Home Run (Line Drive); Cruz Scores",2004-09-03,"Home Run",1
"b3","10-3","1","---","3,(2-0) BBX","O","SFG","Barry Bonds","Chad Durbin","0%","97%","Groundout: 2B-1B (Short RF)",2004-09-03,"Groundout",1
"b5","11-5","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Brian Bruney","0%","98%","Intentional Walk",2004-09-03,"Walk",1
"b6","14-5","0","1-3","3,(2-0) BBX","RO","SFG","Barry Bonds","Mike Fetters","0%","100%","Flyball: LF/Sacrifice Fly (Deep LF-CF); Alfonzo Scores/unER",2004-09-03,"Flyball",1
"b2","0-1","0","---","6,(3-2) BCBSBX","O","SFG","Barry Bonds","Steve Randolph","-3%","42%","Groundout: 2B-1B (Short RF)",2004-09-04,"Groundout",1
"b4","1-2","1","---","6,(3-2) SBCBBX","","SFG","Barry Bonds","Steve Randolph","5%","45%","Double to LF (Line Drive to Deep LF)",2004-09-04,"Double",1
"b6","1-7","1","1--","5,(2-2) TBFBX","","SFG","Barry Bonds","Steve Randolph","2%","5%","Single to LF (Fly Ball); Cruz to 2B",2004-09-04,"Single",1
"b7","5-7","1","---","6,(3-2) CBBBFB","","SFG","Barry Bonds","Mike Koplove","5%","23%","Walk",2004-09-04,"Walk",1
"b2","0-1","0","---","2,(1-0) BX","","SFG","Barry Bonds","Randy Johnson","4%","48%","Single to RF (Line Drive to Deep RF Line)",2004-09-05,"Single",1
"b4","0-1","1","---","2,(0-1) CX","O","SFG","Barry Bonds","Randy Johnson","-2%","38%","Flyball: LF",2004-09-05,"Flyball",1
"b6","2-1","1","1--","6,(3-2) BSBBCB","","SFG","Barry Bonds","Randy Johnson","3%","77%","Walk; Feliz to 2B",2004-09-05,"Walk",1
"b7","4-1","2","12-","4,(3-0) IIII","","SFG","Barry Bonds","Mike Fetters","1%","94%","Intentional Walk; Durham to 3B; Feliz to 2B",2004-09-05,"Walk",1
"t1","0-0","2","1--","1,(0-0) X","O","SFG","Barry Bonds","Jamey Wright","2%","55%","Flyball: CF",2004-09-07,"Flyball",1
"t3","1-2","1","--3","4,(2-1) CBB.X","RR","SFG","Barry Bonds","Jamey Wright","-14%","42%","Home Run (Fly Ball); Alfonzo Scores",2004-09-07,"Home Run",1
"t5","4-2","2","---","4,(3-0) BBBB","","SFG","Barry Bonds","Jamey Wright","-1%","29%","Walk",2004-09-07,"Walk",1
"t7","4-2","2","1--","4,(3-0) BBBX","","SFG","Barry Bonds","Jeff Fassero","-2%","20%","Single to RF (Line Drive to Deep RF); Alfonzo to 3B",2004-09-07,"Single",1
"t9","6-8","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Shawn Chacon","-7%","83%","Intentional Walk",2004-09-07,"Walk",1
"t1","0-0","2","-2-","7,(3-2) FB>B.FBFB","","SFG","Barry Bonds","Joe Kennedy","2%","50%","Walk, Wild Pitch; Feliz to 3B",2004-09-08,"Walk",1
"t3","0-1","1","12-","1,(0-0) X","OO","SFG","Barry Bonds","Joe Kennedy","-10%","34%","Ground Ball Double Play: 1B-SS-P",2004-09-08,"Groundout",1
"t6","0-1","0","---","5,(2-2) BSBFS","O","SFG","Barry Bonds","Joe Kennedy","-4%","32%","Strikeout Swinging",2004-09-08,"Strikeout",1
"t8","1-3","0","1--","4,(2-1) CBBX","","SFG","Barry Bonds","Steve Reed","18%","40%","Double to RF (Line Drive to Deep RF); Feliz to 3B",2004-09-08,"Double",1
"t9","5-3","0","---","1,(0-0) .H","","SFG","Barry Bonds","Brian Fuentes","1%","93%","Hit By Pitch",2004-09-08,"HBP",1
"t2","0-0","0","---","1,(0-0) X","O","SFG","Barry Bonds","Randy Johnson","2%","52%","Flyball: LF",2004-09-10,"Flyball",1
"t4","0-0","2","---","5,(2-2) CBBFH","","SFG","Barry Bonds","Randy Johnson","-2%","53%","Hit By Pitch",2004-09-10,"HBP",1
"t7","0-0","0","---","2,(0-1) CX","","SFG","Barry Bonds","Randy Johnson","-6%","44%","Single to RF (Line Drive)",2004-09-10,"Single",1
"t8","1-2","2","---","4,(3-0) BIII","","SFG","Barry Bonds","Mike Koplove","-3%","80%","Intentional Walk",2004-09-10,"Walk",1
"t1","0-0","2","1--","5,(3-1) BCB1BB","","SFG","Barry Bonds","Steve Randolph","2%","49%","Walk; Feliz to 2B",2004-09-11,"Walk",1
"t3","1-0","1","---","2,(1-0) BX","","SFG","Barry Bonds","Steve Randolph","2%","61%","Single to 2B (Ground Ball)",2004-09-11,"Single",1
"t5","2-0","1","---","4,(3-0) BBBB","","SFG","Barry Bonds","Steve Randolph","2%","74%","Walk",2004-09-11,"Walk",1
"t7","5-0","1","---","4,(3-0) BBBI","","SFG","Barry Bonds","Lance Cormier","0%","97%","Intentional Walk",2004-09-11,"Walk",1
"t9","5-1","1","---","6,(3-2) BBFFBC","O","SFG","Barry Bonds","Brian Bruney","0%","98%","Strikeout Looking",2004-09-11,"Strikeout",1
"t1","0-0","2","1--","6,(3-2) SBBCBB","","SFG","Barry Bonds","Brandon Webb","2%","49%","Walk; Alfonzo to 2B",2004-09-12,"Walk",1
"t3","0-2","2","1--","4,(3-0) BBBB","","SFG","Barry Bonds","Brandon Webb","2%","29%","Walk; Alfonzo to 2B",2004-09-12,"Walk",1
"t5","1-2","0","---","4,(1-2) FBFC","O","SFG","Barry Bonds","Brandon Webb","-3%","33%","Strikeout Looking",2004-09-12,"Strikeout",1
"t7","2-2","2","---","2,(1-0) BX","O","SFG","Barry Bonds","Randy Choate","-2%","41%","Groundout: 2B-1B (Short RF)",2004-09-12,"Groundout",1
"t9","3-2","1","---","5,(3-1) FBBBX","R","SFG","Barry Bonds","Mike Koplove","10%","91%","Home Run (Fly Ball)",2004-09-12,"Home Run",1
"t1","0-0","2","--3","9,(3-2) FSBB*B.FFFX","O","SFG","Barry Bonds","Doug Davis","-4%","45%","Popfly: SS (Short CF)",2004-09-14,"Popfly",1
"t4","0-2","0","1--","6,(3-2) BFSB*BB","","SFG","Barry Bonds","Doug Davis","7%","38%","Walk; Feliz to 2B",2004-09-14,"Walk",1
"t5","2-2","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Doug Davis","1%","49%","Intentional Walk",2004-09-14,"Walk",1
"t8","3-2","0","---","3,(2-0) .BBX","O","SFG","Barry Bonds","Luis Vizcaino","-2%","72%","Groundout: 2B-1B (Short RF)",2004-09-14,"Groundout",1
"t2","0-0","0","---","1,(0-0) X","O","SFG","Barry Bonds","Wes Obermueller","-2%","48%","Flyball: RF (Deep RF)",2004-09-15,"Flyball",1
"t4","0-0","0","---","3,(1-1) BFX","O","SFG","Barry Bonds","Wes Obermueller","-3%","47%","Groundout: 2B-1B",2004-09-15,"Groundout",1
"t6","0-0","1","1--","5,(3-1) BBBCB","","SFG","Barry Bonds","Wes Obermueller","5%","55%","Walk; Alfonzo to 2B",2004-09-15,"Walk",1
"t8","3-0","0","---","4,(2-1) .BSBX","O","SFG","Barry Bonds","Luis Vizcaino","-1%","92%","Groundout: 2B-1B (Short RF)",2004-09-15,"Groundout",1
"t9","5-1","2","1--","4,(3-0) BB*BX","","SFG","Barry Bonds","Pedro Liriano","0%","98%","Reached on E3 (Ground Ball); Alfonzo to 3B",2004-09-15,"Reached on Error",1
"t1","0-0","1","12-","5,(2-2) B*BCFX","R","SFG","Barry Bonds","Victor Santos","13%","67%","Double to RF (Line Drive to Deep RF); Cruz Scores; Feliz to 3B",2004-09-16,"Double",1
"t3","4-0","1","---","4,(3-0) BBBB","","SFG","Barry Bonds","Victor Santos","1%","86%","Walk",2004-09-16,"Walk",1
"t5","4-0","2","---","4,(2-1) BBSX","","SFG","Barry Bonds","Matt Wise","0%","89%","Single to RF (Line Drive)",2004-09-16,"Single",1
"t8","4-0","1","---","4,(2-1) BBCX","","SFG","Barry Bonds","Mike Adams","0%","96%","Single to LF (Line Drive)",2004-09-16,"Single",1
"b1","0-0","1","1-3","3,(1-1) SBH","","SFG","Barry Bonds","Jake Peavy","3%","64%","Hit By Pitch; Tucker to 2B",2004-09-17,"HBP",1
"b3","3-0","0","---","2,(0-1) CX","R","SFG","Barry Bonds","Jake Peavy","5%","89%","Home Run (Fly Ball to LF-CF)",2004-09-17,"Home Run",1
"b5","4-0","0","---","2,(0-1) CX","O","SFG","Barry Bonds","Jake Peavy","-1%","92%","Lineout: RF",2004-09-17,"Lineout",1
"b7","4-1","1","1--","4,(1-2) FF*BS","O","SFG","Barry Bonds","Jake Peavy","-1%","93%","Strikeout Swinging",2004-09-17,"Strikeout",1
"b2","0-0","0","---","1,(0-0) X","R","SFG","Barry Bonds","David Wells","-10%","34%","Home Run (Line Drive)",2004-09-18,"Home Run",1
"b4","1-1","0","---","5,(2-2) BBCFC","O","SFG","Barry Bonds","David Wells","3%","47%","Strikeout Looking",2004-09-18,"Strikeout",1
"b7","1-4","0","---","2,(0-1) .CX","O","SFG","Barry Bonds","David Wells","3%","90%","Groundout: 3B-1B",2004-09-18,"Groundout",1
"b9","1-5","0","1--","4,(1-2) CFBS","O","SFG","Barry Bonds","Akinori Otsuka","2%","98%","Strikeout Swinging",2004-09-18,"Strikeout",1
"b8","2-2","1","1-3","4,(3-0) ..IIII","","SFG","Barry Bonds","Akinori Otsuka","2%","77%","Intentional Walk; Tucker to 2B",2004-09-19,"Walk",1
"b1","1-2","0","-23","4,(2-1) BCBX","RR","SFG","Barry Bonds","Carlos Hernandez","8%","68%","Reached on E6 (Ground Ball); Cruz Scores; Feliz Scores/No RBI",2004-09-21,"Reached on Error",1
"b3","4-2","0","---","5,(3-1) BSBBX","O","SFG","Barry Bonds","Carlos Hernandez","-2%","75%","Popfly: 1B",2004-09-21,"Popfly",1
"b4","7-2","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Brandon Duckworth","0%","94%","Intentional Walk",2004-09-21,"Walk",1
"b6","8-2","1","---","2,(1-0) BX","O","SFG","Barry Bonds","Tim Redding","0%","98%","Flyball: RF",2004-09-21,"Flyball",1
"b8","9-2","1","1--","1,(0-0) H","","SFG","Barry Bonds","Russ Springer","0%","100%","Hit By Pitch; Ransom to 2B",2004-09-21,"HBP",1
"b1","0-0","2","-2-","3,(1-1) C*BX","R","SFG","Barry Bonds","Roy Oswalt","10%","63%","Triple to RF (Line Drive to Deep CF-RF); Feliz Scores",2004-09-22,"Triple",1
"b3","1-1","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Roy Oswalt","1%","55%","Intentional Walk",2004-09-22,"Walk",1
"b5","2-1","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Roy Oswalt","1%","70%","Intentional Walk",2004-09-22,"Walk",1
"b6","5-1","2","-23","5,(3-1) .CBB.II","","SFG","Barry Bonds","Mike Gallo","0%","95%","Intentional Walk",2004-09-22,"Walk",1
"b8","5-1","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Dan Miceli","0%","99%","Intentional Walk",2004-09-22,"Walk",1
"b1","0-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Brandon Backe","-1%","46%","Intentional Walk",2004-09-23,"Walk",1
"b3","1-0","1","---","5,(3-1) BBCBB","","SFG","Barry Bonds","Brandon Backe","-2%","33%","Walk",2004-09-23,"Walk",1
"b5","2-0","2","---","3,(2-0) .BBX","","SFG","Barry Bonds","Darren Oliver","-2%","20%","Triple to RF (Fly Ball)",2004-09-23,"Triple",1
"b7","3-1","2","---","3,(1-1) FBX","O","SFG","Barry Bonds","Chad Qualls","1%","14%","Lineout: RF",2004-09-23,"Lineout",1
"b2","0-0","0","---","2,(0-1) CX","R","SFG","Barry Bonds","Odalis Perez","-10%","34%","Home Run (Line Drive)",2004-09-24,"Home Run",1
"b4","2-3","1","---","6,(3-2) FCBBBC","O","SFG","Barry Bonds","Odalis Perez","2%","62%","Strikeout Looking",2004-09-24,"Strikeout",1
"b7","2-3","0","---","4,(1-2) BCFS","O","SFG","Barry Bonds","Odalis Perez","5%","68%","Strikeout Swinging",2004-09-24,"Strikeout",1
"b9","2-3","2","1--","4,(3-0) .IIII","","SFG","Barry Bonds","Eric Gagne","-7%","82%","Intentional Walk; Ellison to 2B",2004-09-24,"Walk",1
"b1","1-2","1","1--","4,(3-0) BBBI","","SFG","Barry Bonds","Jose Lima","4%","49%","Intentional Walk; Feliz to 2B",2004-09-25,"Walk",1
"b3","2-2","2","---","4,(3-0) IIII","","SFG","Barry Bonds","Jose Lima","1%","53%","Intentional Walk",2004-09-25,"Walk",1
"b5","4-4","0","1--","5,(3-1) BFBB*B","","SFG","Barry Bonds","Scott Stewart","7%","68%","Walk; Feliz to 2B",2004-09-25,"Walk",1
"b7","5-5","1","1--","4,(3-0) IIII","","SFG","Barry Bonds","Mike Venafro","5%","65%","Intentional Walk; Feliz to 2B",2004-09-25,"Walk",1
"b8","9-5","2","---","7,(3-2) BFSBFBB","","SFG","Barry Bonds","Yhency Brazoban","0%","99%","Walk",2004-09-25,"Walk",1
"b1","1-2","2","---","5,(3-1) BFBBB","","SFG","Barry Bonds","Jeff Weaver","-1%","58%","Walk",2004-09-26,"Walk",1
"b3","2-2","1","---","2,(1-0) BX","R","SFG","Barry Bonds","Jeff Weaver","-12%","35%","Home Run (Line Drive)",2004-09-26,"Home Run",1
"b5","3-4","0","---","6,(3-2) CBBCBT","O","SFG","Barry Bonds","Jeff Weaver","3%","62%","Strikeout Swinging",2004-09-26,"Strikeout",1
"b7","3-6","0","1--","3,(1-1) .FBX","","SFG","Barry Bonds","Mike Venafro","-12%","70%","Reached on E4 (Ground Ball to Short RF); Feliz to 3B",2004-09-26,"Reached on Error",1
"b9","4-7","2","---","5,(1-2) SBSFX","","SFG","Barry Bonds","Eric Gagne","-1%","98%","Single to SS (Ground Ball)",2004-09-26,"Single",1
"t2","0-0","0","---","5,(3-1) BCBBX","O","SFG","Barry Bonds","Brian Lawrence","-2%","48%","Lineout: LF (Deep LF)",2004-09-28,"Lineout",1
"t3","0-2","2","1-3","4,(3-0) IIII","","SFG","Barry Bonds","Brian Lawrence","3%","31%","Intentional Walk; Tucker to 2B",2004-09-28,"Walk",1
"t4","5-2","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Brian Lawrence","1%","85%","Intentional Walk",2004-09-28,"Walk",1
"t5","7-3","2","12-","6,(3-2) .BCTB*BX","O","SFG","Barry Bonds","Antonio Osuna","-1%","89%","Groundout: 1B unassisted",2004-09-28,"Groundout",1
"t7","7-4","2","1--","6,(2-2) BCCBFX","O","SFG","Barry Bonds","Scott Linebrink","-1%","89%","Groundout: 1B unassisted",2004-09-28,"Groundout",1
"t1","0-0","2","1--","7,(3-2) SBBFB>F>B","","SFG","Barry Bonds","David Wells","-2%","50%","Walk; Alfonzo to 2B",2004-09-29,"Walk",1
"t3","2-0","2","1--","1,(0-0) X","O","SFG","Barry Bonds","David Wells","2%","31%","Groundout: 2B-1B (Short RF)",2004-09-29,"Groundout",1
"t6","3-1","0","---","3,(0-2) CSS","O","SFG","Barry Bonds","David Wells","2%","22%","Strikeout Swinging",2004-09-29,"Strikeout",1
"t8","3-3","2","1--","5,(3-1) BBCBX","O","SFG","Barry Bonds","David Wells","5%","60%","Groundout: 1B unassisted",2004-09-29,"Groundout",1
"t2","0-1","0","---","6,(1-2) CBCFFC","O","SFG","Barry Bonds","Adam Eaton","-2%","37%","Strikeout Looking",2004-09-30,"Strikeout",1
"t4","1-1","1","1--","4,(1-2) FBFX","","SFG","Barry Bonds","Adam Eaton","8%","58%","Reached on E3 (Ground Ball); Alfonzo to 3B",2004-09-30,"Reached on Error",1
"t5","4-1","2","12-","3,(1-1) CBX","O","SFG","Barry Bonds","Adam Eaton","-2%","83%","Flyball: CF (Deep CF)",2004-09-30,"Flyball",1
"t8","4-1","1","---","7,(3-2) FBBBFFX","","SFG","Barry Bonds","Adam Eaton","1%","94%","Single to 2B (Ground Ball)",2004-09-30,"Single",1
"t2","0-0","0","---","4,(3-0) BBBB","","SFG","Barry Bonds","Jeff Weaver","4%","54%","Walk",2004-10-01,"Walk",1
"t3","2-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Jeff Weaver","1%","71%","Intentional Walk",2004-10-01,"Walk",1
"t6","2-1","1","---","4,(3-0) IIII","","SFG","Barry Bonds","Jeff Weaver","3%","67%","Intentional Walk",2004-10-01,"Walk",1
"t8","3-2","0","---","5,(3-1) ..BBBCX","O","SFG","Barry Bonds","Mike Venafro","-2%","73%","Groundout: 2B-1B (Short RF)",2004-10-01,"Groundout",1
"t1","0-0","1","12-","1,(0-0) X","O","SFG","Barry Bonds","Elmer Dessens","4%","51%","Foul Popfly: 3B (3B into Foul Terr.)",2004-10-02,"Foul Out",1
"t4","0-0","1","---","4,(3-0) BBBB","","SFG","Barry Bonds","Elmer Dessens","-3%","50%","Walk",2004-10-02,"Walk",1
"t6","2-0","0","---","6,(3-2) CBBBF*B","","SFG","Barry Bonds","Wilson Alvarez","-3%","19%","Walk",2004-10-02,"Walk",1
"t8","3-0","0","---","5,(3-1) .CBBBB","","SFG","Barry Bonds","Giovanni Carrara","-1%","6%","Walk",2004-10-02,"Walk",1
"t1","2-0","1","---","3,(1-1) CBX","O","SFG","Barry Bonds","Kazuhisa Ishii","-1%","66%","Popfly: 3B",2004-10-03,"Popfly",1
"t3","2-0","2","1--","4,(3-0) BBBB","","SFG","Barry Bonds","Kazuhisa Ishii","2%","71%","Walk; Feliz to 2B",2004-10-03,"Walk",1
