"Inn","Score","Out","RoB","Pit.cnt.","R.O","X.Bat","Batter","Pitcher","wWPA","wWE","Play.Description","Date","Result","value"
"b5","3-2","2","1--","3,(1-1) SBX","O","SFG","Barry Bonds","Randy Wolf","-2%","66%","Lineout: LF (Deep LF-CF)",2004-05-12,"Lineout",1
"b8","4-3","0","---","2,(1-0) BX","O","SFG","Barry Bonds","Ryan Madson","-1%","85%","Groundout: 1B unassisted",2004-05-12,"Groundout",1
"b1","0-0","2","1--","6,(3-2) BCBCB>X","","SFG","Barry Bonds","Vicente Padilla","-3%","45%","Single to RF (Line Drive); Grissom to 3B",2004-05-13,"Single",1
"b3","2-3","2","---","5,(2-2) BFFBC","O","SFG","Barry Bonds","Vicente Padilla","1%","62%","Strikeout Looking",2004-05-13,"Strikeout",1
"b5","2-4","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Vicente Padilla","-2%","72%","Intentional Walk",2004-05-13,"Walk",1
"b7","2-4","2","12-","5,(3-1) .BFBB*B","","SFG","Barry Bonds","Rheal Cormier","-6%","73%","Walk; Tucker to 3B; Grissom to 2B",2004-05-13,"Walk",1
"b9","2-4","1","-23","4,(3-0) IIII","","SFG","Barry Bonds","Ryan Madson","-4%","66%","Intentional Walk",2004-05-13,"Walk",1
"t2","0-0","0","---","1,(0-0) X","O","SFG","Barry Bonds","Matt Clement","-2%","48%","Flyball: CF (Deep CF)",2004-05-18,"Flyball",1
"t4","0-0","0","---","7,(3-2) BFBFBFB","","SFG","Barry Bonds","Matt Clement","4%","54%","Walk",2004-05-18,"Walk",1
"t6","1-0","1","---","2,(0-1) CX","O","SFG","Barry Bonds","Matt Clement","-2%","61%","Groundout: P-1B",2004-05-18,"Groundout",1
"t9","1-0","0","---","7,(3-2) .CBCBBFB","","SFG","Barry Bonds","Kyle Farnsworth","3%","86%","Walk",2004-05-18,"Walk",1
"t2","0-0","0","---","4,(1-2) FCBC","O","SFG","Barry Bonds","Livan Hernandez","-2%","48%","Strikeout Looking",2004-05-21,"Strikeout",1
"t4","0-1","2","---","6,(3-2) FFBBBX","","SFG","Barry Bonds","Livan Hernandez","2%","35%","Single to P (Ground Ball)",2004-05-21,"Single",1
"t7","0-3","0","---","6,(3-2) BFBFBB","","SFG","Barry Bonds","Livan Hernandez","4%","15%","Walk",2004-05-21,"Walk",1
"t7","6-3","2","-2-","5,(2-2) BBCFX","O","SFG","Barry Bonds","Luis Ayala","-2%","86%","Groundout: P-SS-1B",2004-05-21,"Groundout",1
"t1","0-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Claudio Vargas","1%","49%","Intentional Walk",2004-05-22,"Walk",1
"t4","0-1","0","1--","8,(3-2) BSFFBFB>B","","SFG","Barry Bonds","Claudio Vargas","7%","50%","Walk; Grissom to 2B",2004-05-22,"Walk",1
"t6","2-2","2","---","4,(3-0) BBBX","O","SFG","Barry Bonds","Claudio Vargas","-2%","42%","Flyball: CF",2004-05-22,"Flyball",1
"t9","2-2","1","---","7,(3-2) BCBFFBX","O","SFG","Barry Bonds","Chad Cordero","-5%","39%","Flyball: LF (Deep LF)",2004-05-22,"Flyball",1
"t11","2-2","0","123","2,(1-0) BX","R","SFG","Barry Bonds","Jeremy Fikac","10%","93%","Fielder's Choice 2B; Tucker Scores; Alfonzo to 3B; Grissom to 2B",2004-05-22,"FC",1
