year,division,Player,Jersey,school,conference,Yr,Pos,GP,App,GS,ERA,IP,H.A,R.A,ER,BB.A,SO,SHO,BF,P.OAB,2B.A,3B.A,Bk,HR.A,WP,HB,IBB.A,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,teamid,player_id,player_url,SO_PCT,BB_PCT,SO_BB_Ratio,BAA,OBPA,SLGA,OPSA,conference_id
2018,1,"Bargfeldt, Jeb",19,Miami (FL),ACC,Sr,P,15,15,15,3.29,101.1,83,38,37,30,76,1,412,371,13,3,1,8,2,7,0,0,0,3,1,94,118,4,5,0,24,415,1863948,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1863948,0.184,0.073,2.533,0.224,0.293,0.34,0.633,821
2017,1,"Dondanville, Austin",40,Cal Poly,Big West,So,P,16,15,0,3.67,27,23,11,11,7,32,0,108,97,6,1,0,2,1,1,0,12,7,2,1,24,20,1,0,0,6,90,1636977,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1636977,0.296,0.065,4.571,0.237,0.292,0.381,0.673,904
2014,1,"Weisberg, Aaron",39,George Washington,Atlantic 10,Sr,P,14,14,14,4.22,79,98,53,37,22,44,0,356,315,21,4,1,3,6,8,2,0,0,7,4,103,73,3,7,0,15,249,1194327,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1194327,0.124,0.062,2,0.311,0.367,0.432,0.799,820
2019,1,"Lambert, Chase",40,South Alabama,Sun Belt,Sr,P,16,16,0,5.12,31.2,28,18,18,18,30,0,137,114,6,0,0,1,4,3,1,13,4,1,1,28,29,2,2,0,11,646,1992540,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1992540,0.219,0.131,1.667,0.246,0.36,0.325,0.685,818
2013,1,"Eich, Jordan",5,Marist,MAAC,Jr,P,18,18,2,2.88,34.1,24,12,11,11,21,0,140,122,6,1,0,2,0,4,0,17,2,2,1,36,41,1,2,0,7,386,1213716,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1213716,0.15,0.079,1.909,0.197,0.283,0.311,0.594,871
2019,1,"Price, James",33,George Mason,Atlantic 10,So,P,12,12,1,7.18,31.1,46,26,25,9,21,0,150,132,10,0,1,2,4,4,0,12,2,2,3,33,35,0,1,0,7,248,1982225,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1982225,0.14,0.06,2.333,0.348,0.399,0.47,0.869,820
2017,1,"Finan, Justin",35,Holy Cross,Patriot,Sr,P,14,14,4,6.95,44,66,47,34,10,23,0,210,190,8,0,0,4,8,2,0,2,0,5,3,63,39,3,3,0,9,285,1549047,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1549047,0.11,0.048,2.3,0.347,0.38,0.453,0.833,838
2013,1,"Wright, Zach",35,Washington,Pac-12,Jr,P,33,33,4,3.21,70,62,28,25,42,27,0,308,252,17,3,0,2,6,2,9,25,11,12,0,88,85,4,5,0,12,756,1214323,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1214323,0.088,0.136,0.643,0.246,0.358,0.361,0.719,905
2018,1,"Brown, Kody",23,Bowling Green,MAC,Sr,P,22,21,4,3.41,60.2,59,29,23,27,33,0,266,221,15,0,0,5,3,3,0,23,12,11,4,45,91,2,4,2,10,71,1651713,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1651713,0.124,0.102,1.222,0.267,0.349,0.403,0.752,875
2018,1,"Sauer, Andrew",1,Navy,Patriot,Jr,P,13,13,12,3.1,66.2,61,29,23,23,46,0,289,250,6,1,0,3,8,10,0,0,0,3,3,85,58,5,2,0,15,726,1750151,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1750151,0.159,0.08,2,0.244,0.329,0.312,0.641,838
2016,1,"Grey, Connor",12,St. Bonaventure,Atlantic 10,Sr,P,15,15,13,2.84,92,68,33,29,33,95,0,388,329,11,1,1,3,6,17,2,1,0,9,0,104,61,3,6,0,34,596,1421499,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1421499,0.245,0.085,2.879,0.207,0.311,0.274,0.585,820
2014,1,"Lieske, Johnny",36,UAB,C-USA,Jr,P,14,14,14,2.69,73.2,61,27,22,41,56,0,324,268,12,2,2,0,14,8,4,0,0,5,2,102,49,5,2,0,17,9,1533384,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1533384,0.173,0.127,1.366,0.228,0.345,0.287,0.632,24312
2015,1,"Siddle, Alex",20,Southeast Mo. St.,OVC,Jr,P,23,23,0,3.56,30.1,24,15,12,17,30,0,133,110,5,0,0,2,2,4,1,28,9,1,1,30,27,3,1,2,11,654,1431874,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1431874,0.226,0.128,1.765,0.218,0.341,0.318,0.659,902
2017,1,"Quezada, Jose",45,Texas Tech,Big 12,Jr,P,24,24,0,3.55,38,33,19,15,16,52,0,167,140,4,0,1,4,7,7,0,12,3,0,4,30,29,6,4,4,15,700,1886597,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1886597,0.311,0.096,3.25,0.236,0.335,0.35,0.685,25354
2018,1,"Sellers, Wil",24,Gardner-Webb,Big South,Sr,P,27,27,0,4.74,49.1,60,27,26,5,44,0,208,200,15,1,1,6,2,1,1,25,16,2,0,66,30,4,2,5,11,1092,1548847,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1548847,0.212,0.024,8.8,0.3,0.32,0.475,0.795,826
2018,1,"Battenfield, Peyton",55,Oklahoma St.,Big 12,So,P,26,26,1,4.66,56,68,36,29,24,62,0,266,233,16,2,1,2,3,6,0,22,11,0,3,49,51,2,3,2,12,521,1868222,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1868222,0.233,0.09,2.583,0.292,0.368,0.403,0.771,25354
2015,1,"Saeta, Matt",35,Davidson,Atlantic 10,Sr,P,22,22,0,0.56,32,22,6,2,17,31,0,142,117,3,0,0,0,3,3,2,15,6,5,0,23,39,6,0,5,9,173,1312901,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1312901,0.218,0.12,1.824,0.188,0.307,0.214,0.521,820
2016,1,"Walker, Easton",11,BYU,WCC,Fr,P,21,21,1,3.51,33.1,37,20,13,11,23,0,151,130,7,0,0,1,3,6,0,8,3,3,1,36,32,1,1,1,5,77,1751328,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1751328,0.152,0.073,2.091,0.285,0.365,0.362,0.727,922
2013,1,"Frazier, Scott",44,Pepperdine,WCC,Jr,P,13,13,13,4.06,88.2,75,50,40,40,83,0,385,316,3,3,1,3,15,8,2,0,0,12,8,93,77,5,5,0,25,541,1209637,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1209637,0.216,0.104,2.075,0.237,0.331,0.294,0.625,922
2017,1,"Perez, Devon",20,Oklahoma,Big 12,Jr,P,14,14,8,3.5,64.1,66,28,25,11,81,0,269,251,10,0,0,8,4,3,0,6,2,2,1,42,64,6,2,0,25,522,1877364,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1877364,0.301,0.041,7.364,0.263,0.301,0.398,0.699,25354
2017,1,"Hammans, Tristan",45,Cincinnati,AAC,Jr,P,15,15,0,4.4,30.2,31,16,15,13,16,0,138,119,6,1,1,3,0,3,0,12,3,1,2,30,43,1,0,0,6,140,1651739,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1651739,0.116,0.094,1.231,0.261,0.343,0.403,0.746,823
2014,1,"Busfield, J.D.",34,LMU (CA),WCC,Fr,P,10,10,8,5.35,33.2,39,24,20,7,24,0,148,134,10,0,0,2,1,3,0,2,0,3,1,42,28,1,2,0,12,370,1526104,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1526104,0.162,0.047,3.429,0.291,0.338,0.41,0.748,922
2014,1,"Disch, Nathan",22,Jacksonville,ASUN,Fr,P,26,26,0,6.43,28,31,22,20,21,27,0,142,114,8,2,0,2,7,6,3,12,7,0,1,30,25,0,3,0,13,316,1531031,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1531031,0.19,0.148,1.286,0.272,0.408,0.43,0.838,920
2016,1,"Stewart, Marc",55,Fla. Atlantic,C-USA,Fr,P,15,15,15,3.58,78,69,34,31,32,45,0,333,287,12,3,1,4,5,5,0,0,0,4,5,114,65,6,0,0,14,229,1772158,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1772158,0.135,0.096,1.406,0.24,0.322,0.345,0.667,24312
2017,1,"Halbur, Chris",15,South Dakota St.,Summit League,Sr,P,22,22,0,0.92,29.1,16,3,3,9,32,0,108,97,3,0,0,1,3,1,0,2,0,1,0,23,27,3,0,10,10,649,1769192,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769192,0.296,0.083,3.556,0.165,0.243,0.227,0.47,819
2018,1,"Meza, Isaac",34,CSU Bakersfield,WAC,So,P,11,11,5,8.22,30.2,49,31,28,6,18,0,148,132,8,0,1,5,3,4,0,9,5,5,1,37,29,1,2,0,7,94,1862078,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1862078,0.122,0.041,3,0.371,0.413,0.545,0.958,923
2013,1,"James, Logan",23,Stanford,Pac-12,Fr,P,19,17,3,4.56,47.1,42,28,24,25,36,0,213,173,6,3,0,2,8,7,1,19,4,7,1,51,48,3,3,0,9,674,1435789,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1435789,0.169,0.117,1.44,0.243,0.359,0.347,0.706,905
2017,1,"Korson, Evan",19,Ball St.,MAC,Sr,P,16,16,4,5.82,34,45,25,22,22,33,0,165,137,5,0,0,4,4,3,0,18,9,1,2,26,35,1,1,0,9,47,1759363,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1759363,0.2,0.133,1.5,0.328,0.427,0.453,0.88,875
2016,1,"Beckwith, Andrew",41,Coastal Carolina,Big South,Jr,P,26,26,10,1.85,117,113,34,24,18,75,0,477,443,20,0,2,6,2,10,0,22,9,4,0,154,94,15,1,2,27,149,1544229,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1544229,0.157,0.038,4.167,0.255,0.299,0.341,0.64,826
2015,1,"Manion, Joe",16,Saint Joseph's,Atlantic 10,Jr,P,17,17,5,4.7,53.2,55,29,28,14,30,0,232,207,15,2,1,2,2,2,0,8,2,6,3,56,70,2,3,0,5,606,1549189,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1549189,0.129,0.06,2.143,0.266,0.314,0.386,0.7,820
2017,1,"Schwaner, Tyler",40,La.-Monroe,Sun Belt,Sr,P,34,34,0,4.84,44.2,56,39,24,22,36,0,216,184,8,1,0,5,11,7,0,33,17,2,1,30,56,1,1,0,10,498,1753862,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1753862,0.167,0.102,1.636,0.304,0.397,0.44,0.837,818
2015,1,"Strong, Josh",35,Winthrop,Big South,Sr,P,15,15,11,2.89,71.2,78,32,23,15,37,0,308,282,20,1,0,5,4,2,0,3,1,6,3,69,99,8,3,0,16,792,1306456,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1306456,0.12,0.049,2.467,0.277,0.315,0.408,0.723,826
2016,1,"Busiek, Jake",26,Southeast Mo. St.,OVC,Sr,P,28,28,1,3.76,40.2,28,21,17,19,50,0,175,142,5,1,0,3,5,8,0,32,12,2,3,32,35,2,2,1,13,654,1771836,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1771836,0.286,0.109,2.632,0.197,0.32,0.31,0.63,902
2013,1,"Thome, Andrew",19,North Dakota,GWC,So,P,12,12,12,4.25,78.1,76,44,37,26,57,1,345,292,18,2,0,2,10,12,0,0,0,11,2,118,47,6,5,0,10,494,1324231,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1324231,0.165,0.075,2.192,0.26,0.343,0.356,0.699,30156
2017,1,"Fleming, Ryan",18,Rutgers,Big Ten,Sr,P,26,26,0,5.65,36.2,38,25,23,22,39,0,174,143,7,1,2,2,2,5,1,30,15,1,3,38,26,3,0,0,13,587,1530372,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1530372,0.224,0.126,1.773,0.266,0.376,0.371,0.747,827
2017,1,"Glowicki, Brian",17,Minnesota,Big Ten,Sr,P,28,28,0,2.2,32.2,25,12,8,7,39,0,129,116,2,0,0,2,2,1,0,22,11,3,2,24,34,2,1,16,9,428,1528332,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1528332,0.302,0.054,5.571,0.216,0.262,0.284,0.546,827
2014,1,"Durapau, Montana",7,Bethune-Cookman,MEAC,Sr,P,19,19,16,1.61,117.1,77,25,21,23,103,0,450,410,10,1,0,3,1,9,0,0,0,5,3,103,129,11,1,3,36,61,1218886,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1218886,0.229,0.051,4.478,0.188,0.245,0.239,0.484,876
2016,1,"Warren, Brac",31,Oregon,Pac-12,So,P,25,25,0,3.16,25.2,21,10,9,19,34,0,117,95,3,0,1,2,7,2,0,26,11,1,0,25,14,0,2,0,9,529,1644236,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1644236,0.291,0.162,1.789,0.221,0.362,0.316,0.678,905
2016,1,"Molettiere, Joe",17,Monmouth,MAAC,Fr,P,18,18,3,4.34,45.2,52,25,22,19,28,0,212,188,7,3,0,3,13,1,2,7,4,3,1,69,34,1,2,3,9,439,1756799,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1756799,0.132,0.09,1.474,0.277,0.344,0.394,0.738,871
2014,1,"Tolson, Drew",27,Baylor,Big 12,Fr,P,20,19,7,5.1,54.2,71,40,31,11,30,0,249,227,15,1,0,1,3,4,0,10,3,4,3,75,48,4,5,0,11,51,1422607,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1422607,0.12,0.044,2.727,0.313,0.351,0.401,0.752,25354
2017,1,"Loeprich, Connor",13,Saint Mary's (CA),WCC,So,P,16,16,6,4.15,52,52,25,24,10,36,0,219,199,7,0,1,4,7,3,0,12,4,7,0,57,58,6,2,0,4,610,1750030,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1750030,0.164,0.046,3.6,0.261,0.307,0.357,0.664,922
2014,1,"Short, Wyatt",38,Ole Miss,SEC,Fr,P,23,23,0,2.59,31.1,19,9,9,13,34,0,124,102,6,0,0,0,0,2,2,20,1,5,2,22,32,3,3,3,12,433,1546124,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1546124,0.274,0.105,2.615,0.186,0.286,0.245,0.531,911
2019,1,"Parrish, Drew",43,Florida St.,ACC,Jr,P,19,19,18,4.67,94.1,89,56,49,32,125,0,408,364,15,4,0,15,3,5,1,1,1,4,2,62,86,9,5,0,38,234,1866393,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1866393,0.306,0.078,3.906,0.245,0.313,0.431,0.744,821
2017,1,"Gray, Alex",25,Bradley,MVC,Jr,P,13,13,7,7.28,47,64,44,38,16,26,0,225,195,16,0,0,12,3,9,0,4,1,3,2,33,74,0,4,0,7,72,1862171,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1862171,0.116,0.071,1.625,0.328,0.401,0.595,0.996,884
2017,1,"Van Scoyoc, Spencer",44,Arizona St.,Pac-12,Fr,P,11,10,8,3.86,28,20,18,12,30,15,0,138,96,4,0,1,0,3,9,0,1,0,2,1,39,22,0,2,0,6,28,1872638,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1872638,0.109,0.217,0.5,0.208,0.434,0.25,0.684,905
2016,1,"Lynch, Payden",28,Alcorn,SWAC,Sr,P,17,17,5,9,35,53,63,35,32,25,0,210,154,11,0,0,1,9,17,1,12,7,2,5,43,29,1,5,0,3,17,1660973,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1660973,0.119,0.152,0.781,0.344,0.49,0.435,0.925,916
2013,1,"Onda, Logan",5,UTSA,WAC,So,P,27,27,0,5.06,42.2,60,30,24,4,18,0,194,182,6,1,2,4,2,5,0,30,8,3,0,50,55,1,2,2,3,706,1307027,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1307027,0.093,0.021,4.5,0.33,0.361,0.44,0.801,923
2019,1,"Hayden, Justin",32,Evansville,MVC,Sr,P,12,12,9,4.53,55.2,51,30,28,16,42,0,240,213,10,2,0,5,1,5,0,2,0,3,3,63,59,3,3,0,13,219,1887800,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1887800,0.175,0.067,2.625,0.239,0.304,0.376,0.68,884
2013,1,"Ortman, Dillon",26,Auburn,SEC,Jr,P,11,11,4,4.88,27.2,33,18,15,8,17,0,122,108,5,1,0,2,7,4,0,1,1,1,1,17,42,2,1,0,3,37,1210663,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1210663,0.139,0.066,2.125,0.306,0.372,0.426,0.798,911
2013,1,"Ternowchek, Matt",42,Notre Dame,AAC,So,P,14,14,5,6.32,37,38,26,26,12,25,0,163,141,6,2,0,3,5,5,0,7,1,3,2,49,32,4,4,0,2,513,1312045,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1312045,0.153,0.074,2.083,0.27,0.344,0.404,0.748,823
2019,1,"Fron, Andrew",32,Canisius,MAAC,Fr,P,11,11,9,5.98,40.2,35,30,27,28,34,0,186,151,8,2,0,2,7,4,0,2,0,1,2,41,42,4,1,0,7,116,2117670,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2117670,0.183,0.151,1.214,0.232,0.362,0.351,0.713,871
2019,1,"Kent, Zak",37,VMI,SoCon,Jr,P,15,15,14,4.64,97,87,59,50,30,132,0,420,380,20,0,1,7,11,6,0,0,0,1,3,76,76,5,5,1,24,741,1884610,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1884610,0.314,0.071,4.4,0.229,0.294,0.337,0.631,912
2015,1,"Laigaist, Seth",34,New Orleans,Southland,Sr,INF,27,27,0,4.5,34,22,21,17,31,24,0,164,117,2,0,0,3,20,11,1,29,11,3,2,48,24,0,2,1,9,474,1328188,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1328188,0.146,0.189,0.774,0.188,0.398,0.282,0.68,914
2016,1,"Wells, Hunter",35,Gonzaga,WCC,Jr,P,18,17,10,4.97,76,83,46,42,40,78,0,345,296,19,2,2,2,15,2,1,7,2,5,1,91,44,3,4,2,19,260,1655185,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1655185,0.226,0.116,1.95,0.28,0.369,0.378,0.747,922
2016,1,"Mazzoccoli, Pasquale",32,Texas St.,Sun Belt,Sr,P,28,28,0,4.43,40.2,41,20,20,20,48,0,178,156,6,1,1,2,9,2,1,21,4,0,0,27,40,0,4,13,11,670,1660665,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1660665,0.27,0.112,2.4,0.263,0.354,0.353,0.707,818
2018,1,"Whitney, Cole",23,Ga. Southern,Sun Belt,Jr,P,26,26,3,1.9,61.2,43,18,13,26,53,0,258,222,8,1,0,3,8,4,2,28,7,5,1,51,73,4,1,2,13,253,1773518,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1773518,0.205,0.101,2.038,0.194,0.289,0.279,0.568,818
2015,1,"Nesselt, Jimmy",24,ETSU,SoCon,Sr,P,19,18,15,5.25,94.1,114,62,55,29,107,0,422,378,25,4,0,14,7,2,5,0,0,7,6,73,97,5,7,0,35,198,1316494,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1316494,0.254,0.069,3.69,0.302,0.349,0.5,0.849,912
2018,1,"Daczkowski, Drew",16,High Point,Big South,So,P,8,8,7,4.06,31,19,16,14,20,39,0,136,105,4,2,0,2,7,7,0,1,1,1,3,19,31,2,2,0,18,19651,1871424,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1871424,0.287,0.147,1.95,0.181,0.341,0.314,0.655,826
2013,1,"Bruns, Nick",19,Bowling Green,MAC,Sr,P,29,29,2,2.7,53.1,46,21,16,18,46,1,225,194,3,1,0,2,3,4,1,23,8,6,3,48,55,6,2,6,15,71,1108819,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1108819,0.204,0.08,2.556,0.237,0.311,0.294,0.605,875
2013,1,"Weekley, Austin",18,Charleston So.,Big South,So,P,27,27,0,3.31,32.2,43,17,12,12,23,0,151,138,2,2,1,2,2,1,1,39,14,0,0,39,29,1,2,5,6,48,1314923,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1314923,0.152,0.079,1.917,0.312,0.371,0.399,0.77,826
2014,1,"Mayle, Chad",22,Western Mich.,MAC,Jr,P,15,15,15,2.59,94,86,32,27,44,50,2,402,334,8,0,3,1,2,12,2,0,0,9,2,123,80,6,5,0,18,774,1547638,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1547638,0.124,0.109,1.136,0.257,0.362,0.29,0.652,875
2019,1,"Follis, Tyler",13,Louisiana Tech,C-USA,Jr,P,27,27,2,3.94,45.2,40,22,20,18,45,0,207,177,5,1,0,4,6,8,3,23,9,1,2,45,44,2,2,0,16,366,1888247,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1888247,0.217,0.087,2.5,0.226,0.322,0.333,0.655,24312
2013,1,"McCurry, Brendan",4,Oklahoma St.,Big 12,Jr,INF,38,29,0,2.72,46.1,40,18,14,11,35,0,196,176,8,1,0,0,2,4,5,19,8,4,1,57,44,6,3,8,10,521,1417464,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1417464,0.179,0.056,3.182,0.227,0.286,0.284,0.57,25354
2014,1,"Flaa, Jay",32,North Dakota St.,Summit League,Jr,P,15,15,1,6.58,26,38,21,19,12,29,0,129,111,7,0,0,0,7,0,1,6,2,2,4,22,24,2,2,2,12,493,1315290,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1315290,0.225,0.093,2.417,0.342,0.394,0.405,0.799,819
2015,1,"Freeman, Zach",38,New Mexico St.,WAC,Jr,P,16,16,1,8.53,25.1,46,34,24,22,21,0,148,120,8,0,2,5,3,3,1,13,9,1,2,21,31,0,1,0,6,472,1540729,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1540729,0.142,0.149,0.955,0.383,0.483,0.575,1.058,923
2015,1,"Jackson, Tyler",22,USC Upstate,ASUN,Jr,P,16,16,8,8.41,40.2,75,45,38,12,25,0,209,189,14,3,0,2,3,1,2,7,4,4,3,42,48,0,5,0,10,10411,1643967,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1643967,0.12,0.057,2.083,0.397,0.429,0.534,0.963,920
2018,1,"Hatcher, JC",45,Morehead St.,OVC,Sr,P,27,27,0,5.65,36.2,48,26,23,21,35,0,179,150,6,0,0,3,10,5,1,29,11,3,0,47,21,4,2,0,3,444,1886185,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1886185,0.196,0.117,1.667,0.32,0.42,0.42,0.84,902
2016,1,"Rossomando, Ronnie",43,UConn,AAC,Fr,P,12,12,6,3.93,34.1,37,18,15,17,27,0,157,134,7,1,1,2,6,2,1,5,4,2,2,40,27,1,3,0,10,164,1766374,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1766374,0.172,0.108,1.588,0.276,0.361,0.388,0.749,823
2014,1,"Thicke, Tyler",55,Milwaukee,Horizon,Sr,P,21,20,7,5.13,59.2,58,39,34,34,43,0,277,216,11,0,1,2,3,13,3,13,5,11,3,63,61,6,5,0,19,797,1422293,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1422293,0.155,0.123,1.265,0.269,0.395,0.347,0.742,881
2017,1,"Baird, Cam",32,Texas St.,Sun Belt,Jr,P,14,14,14,5.76,54.2,67,44,35,32,36,0,264,219,14,0,0,6,6,4,0,0,0,4,5,66,54,1,8,0,8,670,1879380,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879380,0.136,0.121,1.125,0.306,0.396,0.452,0.848,818
2018,1,"Conine, Brett",18,Cal St. Fullerton,Big West,Jr,P,33,32,0,4.09,44,53,26,20,8,49,0,202,182,11,0,0,2,7,4,1,6,1,5,3,44,35,4,2,10,17,97,1772692,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1772692,0.243,0.04,6.125,0.291,0.33,0.385,0.715,904
2018,1,"Church, Preston",27,Creighton,Big East,Sr,P,15,15,13,4.74,57,54,34,30,25,45,0,256,220,9,1,3,5,2,7,0,4,1,4,0,48,74,5,5,0,8,169,1530916,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1530916,0.176,0.098,1.8,0.245,0.341,0.364,0.705,30184
2019,1,"Noland, Connor",13,Arkansas,SEC,Fr,P,20,20,19,4.02,78.1,73,42,35,14,55,0,323,299,6,0,0,12,4,3,0,0,0,5,2,106,62,3,5,0,15,31,2117388,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2117388,0.17,0.043,3.929,0.244,0.283,0.385,0.668,911
2016,1,"Stevens, Tyler",14,New Mexico,Mountain West,So,P,16,16,16,4.11,100.2,115,58,46,42,78,0,449,390,15,2,0,11,10,3,0,0,0,11,3,93,113,8,4,0,14,473,1638379,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1638379,0.174,0.094,1.857,0.295,0.365,0.428,0.793,5486
2015,1,"Clemen, Andrew",28,South Dakota St.,Summit League,Jr,P,22,22,0,3.2,39.1,38,17,14,12,47,0,166,149,6,1,1,3,2,2,1,10,4,2,1,36,28,1,1,1,18,649,1439178,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439178,0.283,0.072,3.917,0.255,0.317,0.369,0.686,819
2014,1,"Tabakman, Jordan",23,UConn,AAC,Jr,P,14,14,14,3.4,76.2,89,35,29,26,42,0,338,296,9,3,1,4,5,10,1,0,0,4,2,95,67,4,4,0,19,164,1311217,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1311217,0.124,0.077,1.615,0.301,0.374,0.392,0.766,823
2019,1,"Abbott, Jacob",43,Eastern Ky.,OVC,Jr,INF,12,11,0,3.51,25.2,23,13,10,9,36,0,111,94,4,0,0,3,1,4,1,12,8,1,2,14,23,2,1,0,10,202,1869852,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1869852,0.324,0.081,4,0.245,0.33,0.383,0.713,902
