"year","BA","OBP","SLG","school","K%","BB%","ISO","OPS","tourn_appearance","cws_appearance","cws_final","cws_champ","RC.PA","K-BB%","ERA","SO_PCT","BB_PCT","SO_BB_Ratio","FIP","BAA","OBPA","SLGA","OPSA","GO.O","FO.O","XB.PA","HR.PA","RBI.PA","SF.PA","SH.PA","DP.PA","R.PA","RA.BF","XBA.BF","HRA.BF","KL.BF"
2018,0.279,0.346,0.398,"Old Dominion",0.188,0.079,0.119,0.744,0,0,0,0,0.118,0.109,5.62,0.151,0.096,1.567,4.32,0.302,0.383,0.445,0.828,0.339,0.365,0.062,0.018,0.112,0.009,0.014,0.024,0.125,0.152,0.077,0.019,0.041
2015,0.264,0.352,0.369,"South Fla.",0.198,0.098,0.105,0.721,1,0,0,0,0.11,0.1,4.04,0.212,0.104,2.036,4.15,0.251,0.349,0.369,0.718,0.331,0.3,0.057,0.014,0.117,0.007,0.019,0.018,0.13,0.126,0.059,0.018,0.061
2016,0.289,0.36,0.398,"UT Arlington",0.175,0.085,0.109,0.758,0,0,0,0,0.123,0.09,4.28,0.148,0.077,1.925,4.15,0.27,0.338,0.39,0.728,0.374,0.36,0.065,0.011,0.136,0.011,0.013,0.018,0.146,0.139,0.067,0.016,0.041
2014,0.248,0.333,0.34,"Texas St.",0.182,0.086,0.092,0.673,0,0,0,0,0.095,0.096,3.61,0.191,0.08,2.368,3.96,0.254,0.333,0.349,0.682,0.388,0.28,0.049,0.012,0.109,0.011,0.016,0.021,0.118,0.117,0.055,0.011,0.054
2019,0.292,0.38,0.427,"Kennesaw St.",0.189,0.106,0.135,0.807,0,0,0,0,0.135,0.083,4.9,0.189,0.109,1.743,4.2,0.277,0.371,0.39,0.761,0.327,0.329,0.068,0.022,0.137,0.005,0.017,0.02,0.15,0.147,0.058,0.016,0.052
2018,0.279,0.354,0.389,"Milwaukee",0.195,0.077,0.11,0.743,0,0,0,0,0.118,0.118,4.55,0.205,0.106,1.929,4.08,0.262,0.36,0.362,0.722,0.314,0.318,0.062,0.014,0.128,0.007,0.008,0.022,0.143,0.141,0.056,0.012,0.058
2013,0.267,0.356,0.379,"Western Ky.",0.18,0.1,0.112,0.735,0,0,0,0,0.112,0.08,4.43,0.205,0.106,1.939,4.06,0.271,0.371,0.366,0.737,0.332,0.289,0.062,0.014,0.116,0.007,0.023,0.015,0.126,0.135,0.055,0.011,0.07
2018,0.235,0.345,0.331,"UNC Asheville",0.263,0.119,0.096,0.676,0,0,0,0,0.093,0.144,6.65,0.16,0.131,1.225,4.48,0.311,0.414,0.468,0.882,0.319,0.363,0.053,0.013,0.1,0.009,0.006,0.017,0.113,0.175,0.082,0.019,0.043
2013,0.233,0.317,0.284,"Coppin St.",0.199,0.086,0.051,0.601,0,0,0,0,0.076,0.113,5.49,0.122,0.122,1.004,4.32,0.282,0.394,0.364,0.758,0.341,0.4,0.037,0.001,0.086,0.009,0.016,0.021,0.102,0.162,0.047,0.004,0.041
2015,0.265,0.359,0.376,"Ole Miss",0.215,0.111,0.111,0.735,1,0,0,0,0.112,0.104,4.38,0.179,0.073,2.466,4.07,0.269,0.333,0.393,0.726,0.337,0.353,0.06,0.016,0.122,0.009,0.01,0.025,0.133,0.134,0.07,0.018,0.05
2017,0.275,0.371,0.425,"Belmont",0.18,0.112,0.15,0.796,0,0,0,0,0.13,0.068,5.52,0.199,0.093,2.133,4.38,0.294,0.378,0.456,0.834,0.291,0.353,0.079,0.022,0.133,0.009,0.014,0.018,0.148,0.152,0.08,0.029,0.051
2017,0.267,0.39,0.404,"Liberty",0.186,0.145,0.137,0.794,0,0,0,0,0.126,0.041,4.31,0.199,0.102,1.946,4.2,0.261,0.35,0.389,0.739,0.342,0.303,0.067,0.02,0.148,0.009,0.015,0.017,0.165,0.127,0.064,0.021,0.046
2017,0.273,0.367,0.397,"Ball St.",0.19,0.109,0.124,0.764,0,0,0,0,0.118,0.081,4.55,0.209,0.116,1.805,4.08,0.262,0.365,0.35,0.715,0.296,0.338,0.068,0.014,0.132,0.009,0.022,0.018,0.146,0.127,0.046,0.011,0.06
2015,0.274,0.352,0.387,"Fresno St.",0.185,0.084,0.113,0.739,0,0,0,0,0.112,0.101,4.16,0.167,0.098,1.711,4.24,0.252,0.345,0.382,0.727,0.35,0.352,0.061,0.015,0.114,0.007,0.029,0.022,0.128,0.12,0.069,0.018,0.046
2017,0.299,0.375,0.429,"Fairleigh Dickinson",0.146,0.091,0.13,0.804,0,0,0,0,0.139,0.055,7.96,0.141,0.139,1.011,4.75,0.33,0.433,0.502,0.935,0.307,0.398,0.07,0.02,0.14,0.013,0.007,0.021,0.158,0.207,0.083,0.025,0.047
2017,0.22,0.313,0.298,"Mississippi Val.",0.235,0.098,0.078,0.611,0,0,0,0,0.078,0.137,6.63,0.161,0.097,1.667,4.29,0.323,0.406,0.466,0.872,0.305,0.371,0.042,0.011,0.073,0.005,0.019,0.008,0.09,0.185,0.084,0.016,0.046
2014,0.261,0.348,0.326,"Navy",0.132,0.087,0.065,0.674,0,0,0,0,0.094,0.045,3.7,0.191,0.078,2.465,3.85,0.252,0.329,0.328,0.657,0.355,0.316,0.041,0.003,0.107,0.009,0.018,0.027,0.12,0.115,0.049,0.005,0.063
2017,0.332,0.425,0.519,"Morehead St.",0.16,0.105,0.187,0.944,0,0,0,0,0.177,0.055,6.05,0.19,0.089,2.135,4.55,0.299,0.373,0.501,0.874,0.337,0.314,0.088,0.032,0.181,0.009,0.003,0.028,0.202,0.171,0.091,0.039,0.044
2013,0.306,0.416,0.425,"Canisius",0.132,0.109,0.119,0.841,1,0,0,0,0.138,0.023,4.21,0.168,0.079,2.135,4.01,0.251,0.329,0.346,0.675,0.34,0.366,0.063,0.011,0.152,0.01,0.021,0.019,0.171,0.128,0.055,0.01,0.051
2013,0.207,0.291,0.254,"Chicago St.",0.224,0.073,0.047,0.545,0,0,0,0,0.061,0.151,5.99,0.103,0.096,1.077,4.38,0.301,0.394,0.425,0.819,0.35,0.429,0.029,0.005,0.073,0.004,0.02,0.02,0.092,0.179,0.072,0.009,0.038
2016,0.322,0.424,0.5,"Jackson St.",0.147,0.108,0.178,0.924,0,0,0,0,0.167,0.039,5.34,0.192,0.108,1.787,4.2,0.28,0.373,0.397,0.77,0.305,0.336,0.083,0.026,0.188,0.015,0.022,0.019,0.212,0.171,0.063,0.016,0.065
2018,0.273,0.35,0.429,"CSUN",0.188,0.073,0.156,0.779,0,0,0,0,0.121,0.115,4.63,0.178,0.074,2.398,4.07,0.283,0.352,0.4,0.752,0.366,0.312,0.076,0.027,0.13,0.013,0.013,0.016,0.139,0.134,0.066,0.017,0.046
2017,0.272,0.357,0.412,"Rhode Island",0.197,0.096,0.14,0.769,0,0,0,0,0.124,0.101,3.65,0.17,0.099,1.713,4.21,0.239,0.333,0.348,0.681,0.307,0.403,0.068,0.024,0.128,0.009,0.013,0.017,0.133,0.12,0.056,0.016,0.052
2019,0.261,0.351,0.405,"West Virginia",0.213,0.11,0.144,0.756,1,0,0,0,0.12,0.103,3.7,0.259,0.108,2.399,4.03,0.218,0.326,0.33,0.656,0.271,0.304,0.076,0.021,0.131,0.013,0.013,0.018,0.144,0.108,0.056,0.017,0.065
